,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
0,no,no,countryside,61 years old,male,NO,40_65,I know something about it,I would not vote,None of the above,None of the above,None of the above,,Austria,AT
1,high,yes,urban,57 years old,male,yES,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working,automatic data processing planner,Austria,AT
2,,no,city,32 years old,male,nO,26_39,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,,Austria,AT
3,high,yes,Country,45 years old,Male,YES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,None of the above,data coordinator,Austria,AT
4,high,yes,city,41 years old,Fem,yES,40_65,I have heard just a little about it,I would probably vote for it,None of the above,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,database developer,Austria,AT
5,high,yes,countryside,1990,FeMale,NO,26_39,I understand it fully,I would vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward,data entry specialist,Austria,AT
6,medium,no,urban,1990,Fem,NO,26_39,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state,,Austria,AT
7,medium,yes,urban,47 years old,Male,NO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state,database architect,Austria,AT
8,medium,yes,city,34 years old,FeMale,nO,26_39,I have heard just a little about it,I would probably vote for it,None of the above,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,geographic information systems database administrator gis database administrator,Austria,AT
9,no,no,urban,1994,female,yES,juvenile,I understand it fully,I would vote for it,‰Û_ do more volunteering work,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,Austria,AT
10,high,yes,urban,49 years old,male,NO,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state,crime data specialist,Austria,AT
11,medium,no,city,58 years old,male,YES,40_65,I know something about it,I would probably vote for it,‰Û_ stop working,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working,,Austria,AT
12,low,yes,urban,1991,female,NO,14_25,I have never heard of it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,data communications software consultant,Austria,AT
13,medium,no,rural,40 years old,male,YES,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Austria,AT
14,medium,no,Country,37 years old,male,NO,26_39,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Austria,AT
15,medium,yes,city,48 years old,male,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,data security analyst,Austria,AT
16,low,no,rural,31 years old,male,yES,26_39,I know something about it,I would vote against it,‰Û_ stop working,It encourages financial independence and self-responsibility,Foreigners might come to my country and take advantage of the benefit,,Austria,AT
17,high,no,Non-Rural,1990,female,NO,26_39,I know something about it,I would probably vote for it,‰Û_ work as a freelancer,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity",It is against the principle of linking merit and reward | It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,,Austria,AT
18,low,no,city,1999,female,nO,14_25,I have never heard of it,I would probably vote against it,‰Û_ gain additional skills,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Austria,AT
19,medium,yes,rural,34 years old,male,YES,26_39,I have heard just a little about it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,database marketing analyst,Austria,AT
20,low,yes,city,1989,male,yES,26_39,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,computer or data processing systems consultant,Austria,AT
21,medium,yes,city,40 years old,male,yES,40_65,I understand it fully,I would probably vote against it,‰Û_ gain additional skills,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility,It might encourage people to stop working | It increases dependence on the state | It is against the principle of linking merit and reward | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,geographic information systems database administrator gis database administrator,Austria,AT
22,no,no,urban,2001,FeMale,nO,14_25,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance,,Austria,AT
23,,yes,rural,1991,female,NO,14_25,I know something about it,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering | It reduces bureaucracy and administrative expenses",It might encourage people to stop working,database development and administration project manager,Austria,AT
24,high,yes,rural,1989,male,NO,26_39,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state,naval tactical data systemcombat information center watch officer general,Austria,AT
25,medium,no,city,35 years old,FeMale,YES,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working,,Austria,AT
26,medium,yes,rural,48 years old,male,NO,40_65,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,It encourages financial independence and self-responsibility,Only the people who need it most should get something from the state,data coder operator,Austria,AT
27,low,no,countryside,51 years old,male,YES,40_65,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,,Austria,AT
